Community,Full Name,Country,Long,Lat,ECO_ID_U,ECO_CODE,ECO_NAME,ECO_NUM,ECODE_NAME,CLS_CODE,ECO_NOTES,WWF_REALM,WWF_REALM2,WWF_MHTNUM,WWF_MHTNAM,RealmMHT,ER_UPDATE,ER_DATE_U,ER_RATION,SOURCEDATA
Liwonde ,Liwonde National Park,Malawi,35.34,-14.86,10142,AT0725,Zambezian And Mopane Woodlands,25,AT0725. Zambezian and Mopane woodlands,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Lolldaiga,Lolldaiga Hills Conservation Area,Kenya,37.13,0.122,10092,AT0108,East African Montane Forests,8,AT0108. East African montane forests,0,,AT,Afrotropic,1,Tropical and Subtropical Moist Broadleaf Forests,AT1,,,,"Olson, 2001"
Lope ,Lope National Park,Gabon,11.54,-0.53,10086,AT0102,Atlantic Equatorial Coastal Forests,2,AT0102. Atlantic Equatorial coastal forests,0,,AT,Afrotropic,1,Tropical and Subtropical Moist Broadleaf Forests,AT1,,,,"Olson, 2001"
Luando  ,Luando Integral Nature Reserve,Angola,17.38,-11.01,10118,AT0701,Angolan Miombo Woodlands,1,AT0701. Angolan Miombo woodlands,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Luengue Luiana,Luengue Luiana National Park,Angola,22.52,-17.4,10143,AT0726,Zambezian Baikiaea Woodlands,26,AT0726. Zambezian Baikiaea woodlands,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Madjoari ,Madjoari Faunal Reserve,Burkina Faso,1.28,11.35,10139,AT0722,West Sudanian Savanna,22,AT0722. West Sudanian savanna,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Mago ,Mago National Park,Ethiopia,36.25,5.54,10132,AT0715,Somali Acacia-Commiphora Bushlands And Thickets,15,AT0715. Somali Acacia-Commiphora bushlands and thickets,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Mahale Mountains ,Mahale Mountains National Park,Tanzania,29.92,-6.22,10085,AT0101,Albertine Rift Montane Forests,1,AT0101. Albertine Rift montane forests,0,,AT,Afrotropic,1,Tropical and Subtropical Moist Broadleaf Forests,AT1,,,,"Olson, 2001"
Mahango ,Mahango Game Reserve,Namibia,22.46,-17.97,10143,AT0726,Zambezian Baikiaea Woodlands,26,AT0726. Zambezian Baikiaea woodlands,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Majete ,Majete Wildlife Reserve,Malawi,34.62,-15.92,10168,AT1014,South Malawi Montane Forest-Grassland Mosaic,14,AT1014. South Malawi montane forest-grassland mosaic,0,,AT,Afrotropic,10,Montane Grasslands and Shrublands,AT10,,,,"Olson, 2001"
Mana Pools ,Mana Pools National Park,Zimbabwe,29.46,-15.97,10142,AT0725,Zambezian And Mopane Woodlands,25,AT0725. Zambezian and Mopane woodlands,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Manda ,Manda National Park,Chad,18.02,9.41,10122,AT0705,East Sudanian Savanna,5,AT0705. East Sudanian savanna,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Mandelia ,Mandelia Faunal Reserve,Chad,15.21,11.54,10130,AT0713,Sahelian Acacia Savanna,13,AT0713. Sahelian Acacia savanna,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Manovo Gounda Saint Floris ,Manovo Gounda Saint Floris National Park,Central African Republic,21.26,9.14,10122,AT0705,East Sudanian Savanna,5,AT0705. East Sudanian savanna,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Maputo,Maputo Special Reserve,Mozambique,32.33,-26.5,10103,AT0119,Maputaland Coastal Forest Mosaic,19,AT0119. Maputaland coastal forest mosaic,0,,AT,Afrotropic,1,Tropical and Subtropical Moist Broadleaf Forests,AT1,,,,"Olson, 2001"
Mare aux Hippopotames ,Mare aux Hippopotames ,Burkina Faso,-4.15,11.59,10139,AT0722,West Sudanian Savanna,22,AT0722. West Sudanian savanna,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Marromeu ,Marromeu Game Reserve,Mozambique,35.93,-18.75,10152,AT0906,Zambezian Coastal Flooded Savanna,6,AT0906. Zambezian coastal flooded savanna,0,,AT,Afrotropic,9,Flooded Grasslands and Savannas,AT9,,,,"Olson, 2001"
Marsabit ,Marsabit National Park,Kenya,37.96,2.27,10128,AT0711,Northern Acacia-Commiphora Bushlands And Thickets,11,AT0711. Northern Acacia-Commiphora bushlands and thickets,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Masai Mara ,Masai Mara National Reserve,Kenya,35.11,-1.47,10133,AT0716,Southern Acacia-Commiphora Bushlands And Thickets,16,AT0716. Southern Acacia-Commiphora bushlands and thickets,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Massif du Ziama,Massif du Ziama Classified Forest,Guinea,-9.34,8.28,10098,AT0114,Guinean Montane Forests,14,AT0114. Guinean montane forests,0,,AT,Afrotropic,1,Tropical and Subtropical Moist Broadleaf Forests,AT1,,,,"Olson, 2001"
Matobo,Matobo National Park,Zimbabwe,28.52,-20.55,10134,AT0717,Southern Africa Bushveld,17,AT0717. Southern Africa bushveld,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Matusadona ,Matusadona National Park,Zimbabwe,28.59,-16.96,10136,AT0719,Southern Miombo Woodlands,19,AT0719. Southern Miombo woodlands,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
