Community,Full Name,Country,Long,Lat,ECO_ID_U,ECO_CODE,ECO_NAME,ECO_NUM,ECODE_NAME,CLS_CODE,ECO_NOTES,WWF_REALM,WWF_REALM2,WWF_MHTNUM,WWF_MHTNAM,RealmMHT,ER_UPDATE,ER_DATE_U,ER_RATION,SOURCEDATA
Tamou,Reserve totale de faune de Tamou,Niger,2.3,12.6,10139,AT0722,West Sudanian Savanna,22,AT0722. West Sudanian savanna,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Tarangire ,Tarangire National Park,Tanzania,36.1,-4.15,10133,AT0716,Southern Acacia-Commiphora Bushlands And Thickets,16,AT0716. Southern Acacia-Commiphora bushlands and thickets,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Tongwe ,Tongwe Forest Reserve,Tanzania,38.73,-5.3,10109,AT0125,Northern Zanzibar-Inhambane Coastal Forest Mosaic,25,AT0125. Northern Zanzibar-Inhambane coastal forest mosaic,0,,AT,Afrotropic,1,Tropical and Subtropical Moist Broadleaf Forests,AT1,,,,"Olson, 2001"
Tsavo ,Tsavo National Park,Kenya,38.77,-2.78,10128,AT0711,Northern Acacia-Commiphora Bushlands And Thickets,11,AT0711. Northern Acacia-Commiphora bushlands and thickets,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Tsoulou ,Tsoulou Faunal Reserve,Congo,12.5,-3.58,10140,AT0723,Western Congolian Forest-Savanna Mosaic,23,AT0723. Western Congolian forest-savanna mosaic,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Volcans ,Volcans National Park,Rwanda,29.52,-1.48,10167,AT1013,Ruwenzori-Virunga Montane Moorlands,13,AT1013. Ruwenzori-Virunga montane moorlands,0,,AT,Afrotropic,10,Montane Grasslands and Shrublands,AT10,,,,"Olson, 2001"
Vwaza Marsh ,Vwaza Marsh Wildlife Reserve,Malawi,33.45,-11.01,10169,AT1015,Southern Rift Montane Forest-Grassland Mosaic,15,AT1015. Southern Rift montane forest-grassland mosaic,0,,AT,Afrotropic,10,Montane Grasslands and Shrublands,AT10,,,,"Olson, 2001"
W ,W National Park,Burkina Faso,2.16,11.9,10139,AT0722,West Sudanian Savanna,22,AT0722. West Sudanian savanna,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Waterberg Plateau ,Waterberg Plateau National Park,Namibia,17.29,-20.4,10180,AT1309,Kalahari Xeric Savanna,9,AT1309. Kalahari xeric savanna,0,,AT,Afrotropic,13,Deserts and Xeric Shrublands,AT13,,,,"Olson, 2001"
Waza ,Waza National Park,Cameroon,14.7,11.29,10130,AT0713,Sahelian Acacia Savanna,13,AT0713. Sahelian Acacia savanna,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
West Lunga ,West Lunga National Park,Zambia,24.78,-12.81,10117,AT0203,Zambezian Cryptosepalum Dry Forests,3,AT0203. Zambezian Cryptosepalum dry forests,0,,AT,Afrotropic,2,Tropical and Subtropical Dry Broadleaf Forests,AT2,,,,"Olson, 2001"
Yangudi Rassa ,Yangudi Rassa National Park,Ethiopia,40.77,10.96,10132,AT0715,Somali Acacia-Commiphora Bushlands And Thickets,15,AT0715. Somali Acacia-Commiphora bushlands and thickets,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Zakouma ,Zakouma National Park,Chad,19.67,10.82,10122,AT0705,East Sudanian Savanna,5,AT0705. East Sudanian savanna,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Zemongo ,Zemongo Faunal Reserve,Central African Republic,25.16,6.6,10129,AT0712,Northern Congolian Forest-Savanna Mosaic,12,AT0712. Northern Congolian forest-savanna mosaic,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Zinave ,Zinave National Park,Mozambique,33.56,-21.61,10142,AT0725,Zambezian And Mopane Woodlands,25,AT0725. Zambezian and Mopane woodlands,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
